任务编号,任务名称,阶段,分组,优先级,状态,预估工时,描述,产出文件,前置依赖
1.1,项目初始化,阶段1-框架基础,项目搭建,P0,已完成,2h,Android Library 项目创建 + mavenLocal 发布配置,build.gradle / settings.gradle,无
1.2,BaseUiTest 基类,阶段1-框架基础,测试基类,P0,已完成,4h,整合 Espresso + UiAutomator 的测试基类，提供设备操作和 App 启动能力,base/BaseUiTest.kt,1.1
1.3,BaseActivityTest 基类,阶段1-框架基础,测试基类,P0,已完成,2h,基于 ActivityScenario 的测试基类，自动管理 Activity 生命周期,base/BaseActivityTest.kt,1.2
1.4,Espresso 扩展函数,阶段1-框架基础,工具层,P0,已完成,2h,viewById/viewByText/click/typeText/replaceText/isDisplayed/hasText/scrollTo,util/EspressoExt.kt,1.1
1.5,UiAutomator 扩展函数,阶段1-框架基础,工具层,P0,已完成,3h,权限弹窗处理(允许/拒绝)、滑动、等待文本/控件、点击文本/ResId、等待App前台,util/UiAutomatorExt.kt,1.1
1.6,WaitUtil 等待工具,阶段1-框架基础,工具层,P1,已完成,1h,Espresso 线程内等待 + 轮询等待条件满足,util/WaitUtil.kt,1.4
1.7,ScreenshotRule 失败截图,阶段1-框架基础,工具层,P1,已完成,2h,JUnit TestWatcher Rule，测试失败时自动截图保存到指定目录,util/ScreenshotRule.kt,1.2
1.8,AppActions 通用操作,阶段1-框架基础,操作封装,P1,已完成,2h,遍历底部 Tab 切换、等待引导页/闪屏消失并跳过,action/AppActions.kt,1.5
1.9,AppAssertions 通用断言,阶段1-框架基础,断言封装,P1,已完成,1h,App 在前台断言、屏幕文本可见断言、资源 ID 可见断言,assertion/AppAssertions.kt,1.5
1.10,TestConfig 分层配置,阶段1-框架基础,配置中心,P0,已完成,4h,支持 properties 文件 + 命令行参数 + 代码默认值三层优先级配置,config/TestConfig.kt + ConfigLoader.kt + ConfigKeys.kt,1.1
1.11,结构化 JSON 报告,阶段1-框架基础,报告系统,P0,已完成,4h,RunReport 数据模型 + ReportWriter JSON 序列化 + ReportCollector 失败收集，集成到 BaseUiTest,report/RunReport.kt + ReportWriter.kt + ReportCollector.kt,1.2
1.12,DSL 步骤层,阶段1-框架基础,DSL,P1,已完成,3h,scenario/step DSL 语法，支持步骤命名和执行，与报告系统集成记录每步耗时和状态,dsl/Scenario.kt + Steps.kt,1.11
1.13,RunnerInfo 设备信息收集,阶段1-框架基础,Runner,P1,已完成,2h,收集设备厂商/型号/SDK/Android版本/包名/语言环境，嵌入 JSON 报告,runner/RunnerInfo.kt + DeviceSelector.kt,1.11
2.1,FlakyClassifier 失败分类,阶段2-稳定性治理,Flaky治理,P0,已完成,2h,根据错误信息判定失败类型：含 timeout/超时 → FLAKY，其他 → HARD_FAIL,stability/FlakyClassifier.kt,1.11
2.2,RetryPolicy 数据模型,阶段2-稳定性治理,Flaky治理,P0,已完成,0.5h,重试策略数据类：最大重试次数 + 重试间隔毫秒数,stability/RetryPolicy.kt,无
2.3,RetryRunner JUnit Rule,阶段2-稳定性治理,Flaky治理,P0,已完成,3h,JUnit TestRule 实现：FLAKY 类型自动重试指定次数，HARD_FAIL 直接抛出不浪费时间,stability/RetryRunner.kt,2.1 + 2.2
2.4,WaitPolicy 数据模型,阶段2-稳定性治理,等待策略,P1,已完成,0.5h,等待策略数据类：超时时间 + 轮询间隔,stability/WaitPolicy.kt,无
2.5,单元测试覆盖,阶段2-稳定性治理,质量保障,P0,已完成,3h,ConfigLoaderTest + FlakyClassifierTest + RetryRunnerTest + ReportWriterTest + ScenarioTest + RiskEvaluatorTest,src/test/ 下 6 个测试类,2.1~2.4
3.1.1,Claude AI 插件实现,阶段3-AI能力落地,AI插件,P1,未开始,8h,对接 Claude API 的 AIPlugin 实现：HTTP 调用、prompt 构建、response 解析、API Key 配置,ai/ClaudePlugin.kt,1.10
3.1.2,本地 LLM 插件实现,阶段3-AI能力落地,AI插件,P2,未开始,4h,本地/自定义 LLM 的 AIPlugin 实现（可选），支持 Ollama 等本地模型,ai/LocalLLMPlugin.kt,3.1.1
3.1.3,AIPatchApplier 补丁应用,阶段3-AI能力落地,AI插件,P1,未开始,6h,实现真正的代码 patch 逻辑：解析 diff 格式、应用到目标文件、支持回滚,ai/AIPatchApplier.kt（改造）,3.1.1
3.2.1,AI 测试用例生成器,阶段3-AI能力落地,AI测试生成,P1,未开始,8h,根据 Activity 类名 + 布局 XML / View 层级 dump 生成可执行的 Kotlin 测试代码,ai/TestGenerator.kt,3.1.1
3.2.2,AI 测试数据生成器,阶段3-AI能力落地,AI测试生成,P2,未开始,4h,AI 生成测试数据：支持边界值、异常值、国际化数据,ai/TestDataGenerator.kt,3.1.1
3.3.1,AI Flaky 修复器,阶段3-AI能力落地,AI修复,P1,未开始,8h,分析 Flaky 失败日志生成修复补丁：增加等待、调整选择器、处理弹窗，走风险评估流程,ai/FlakyFixer.kt,3.1.1 + 2.1
3.3.2,FlakyFixer 与 RetryRunner 联动,阶段3-AI能力落地,AI修复,P1,未开始,4h,RetryRunner 重试仍失败时自动触发 AI 分析并尝试生成修复方案,stability/RetryRunner.kt（改造）,3.3.1 + 2.3
3.4.1,RiskLevel 扩展为三级,阶段3-AI能力落地,风险门控,P1,未开始,2h,L0（只读/分析报告）、L1（低风险自动应用）、L2（高风险需人工审批）,risk/RiskLevel.kt（改造）,无
3.4.2,RiskEvaluator 规则完善,阶段3-AI能力落地,风险门控,P1,未开始,4h,基于变更类型（等待/选择器/逻辑/删除）和影响范围（单文件/多文件）综合评估风险等级,risk/RiskEvaluator.kt（改造）,3.4.1
3.4.3,审批回调机制实现,阶段3-AI能力落地,风险门控,P2,未开始,6h,支持 CLI 交互确认 / 飞书通知审批 / CI 手动审批三种审批方式,risk/ApprovalGate.kt（改造）,3.4.2
4.1.1,CircleCI 测试 Job,阶段4-CI与多设备,CI集成,P1,未开始,6h,创建 CircleCI 自动化测试 job：模拟器启动等待、执行测试、收集报告截图、飞书通知,.circleci/test-config.yml,5.5.1
4.1.2,GitHub Actions Workflow,阶段4-CI与多设备,CI集成,P2,未开始,4h,备选 CI 方案：GitHub Actions 自动化测试工作流,.github/workflows/autotest.yml,4.1.1
4.1.3,集成到 debox CI Pipeline,阶段4-CI与多设备,CI集成,P1,未开始,4h,将自动化测试 job 集成到 debox-android 现有的 CircleCI 流水线中,debox .circleci/config.yml（改造）,4.1.1 + 5.5.1
4.2.1,DeviceSelector 完善,阶段4-CI与多设备,多设备,P1,未开始,4h,支持指定设备 serial、优先物理机策略、并发设备分配,runner/DeviceSelector.kt（改造）,1.13
